Kreis,Datum,Länge (h),TO-Punkte,AfD-Anträge,Kooperation,Inhaltlich,Personell,Organisatorisch,Notizen,Person
15091,7/1/2019,2.08,22,0,1,0,1,0,,Merle
15091,9/30/2019,3.28,25,2,2,2,0,0,,Merle
15091,11/25/2019,2.06,26,0,0,0,0,0,,Merle
15091,3/9/2020,1.23,16,0,0,0,0,0,,Merle
15091,6/16/2020,1.2,16,1,0,0,0,0,,Merle
15091,10/7/2020,2.18,30,1,0,0,0,0,,Merle
15091,11/30/2020,2.15,29,1,1,1,0,0,,Merle
15091,3/1/2021,2.08,11,0,0,0,0,0,außerplanmäßige Sitzung ,Merle
15091,3/17/2021,2.02,16,2,2,2,0,0,,Merle
15091,4/20/2021,1,12,0,0,0,0,0,,Merle
15091,6/28/2021,1.25,16,0,0,0,0,0,,Merle
15091,7/12/2021,0.57,14,0,0,0,0,0,,Merle
15091,9/27/2021,1.17,26,0,0,0,0,0,,Merle
15091,12/6/2021,1.48,18,0,0,0,0,0,kein Mitglied der AfD Fraktion ist zur Kreistagssitzung erschienen ,Merle
15091,2/21/2022,4.02,16,0,0,0,0,0,Videokonferenz,Merle
15091,4/25/2022,1.2,16,1,1,1,0,0,,Merle
15091,5/30/2022,0.11,7,0,0,0,0,0,außerplanmäßige Sitzung ,Merle
15091,6/27/2022,1.3,15,0,0,0,0,0,,Merle
15091,9/26/2022,1.55,19,1,0,0,0,0,,Merle
15091,11/2/2022,0.33,13,0,0,0,0,0,,Merle
15091,12/12/2022,1.27,18,0,0,0,0,0,,Merle
15091,2/27/2023,1.14,18,0,0,0,0,0,,Merle
15091,4/17/2023,0.3,13,0,0,0,0,0,,Merle
15091,6/19/2023,1.32,16,0,0,0,0,0,,Merle
15091,9/25/2023,1.4,23,0,0,0,0,0,,Merle
15091,11/6/2023,0.52,15,0,0,0,0,0,,Merle
15091,12/11/2023,1.42,22,0,0,0,0,0,,Merle
15091,2/26/2024,2.1,18,NA,NA,NA,NA,NA,,Merle
15091,6/10/2024,0.57,15,NA,NA,NA,NA,NA,,Merle
15090,7/4/2019,4.02,41,2,2,1,1,0,,Merle
15090,9/19/2019,5.2,31,1,0,0,0,0,,Merle
15090,9/23/2019,0.56,31,1,1,1,0,0,,Merle
15090,10/17/2019,2.05,8,0,0,0,0,0,,Merle
15090,11/14/2019,3.28,15,0,0,0,0,0,,Merle
15090,12/12/2019,3.57,30,3,0,0,0,0,,Merle
15090,1/9/2020,1.08,7,0,0,0,0,0,,Merle
15090,3/19/2020,2.1,22,0,0,0,0,0,,Merle
15090,4/2/2020,2.14,12,0,0,0,0,0,,Merle
15090,5/14/2020,1.08,16,0,0,0,0,0,,Merle
15090,6/4/2020,2.43,26,0,0,0,0,0,,Merle
15090,7/16/2020,4.03,11,1,1,1,0,0,,Merle
15090,9/24/2020,4.15,26,1,1,1,0,0,,Merle
15090,11/12/2020,3.56,17,0,0,0,0,0,,Merle
15090,12/10/2020,3.21,18,1,1,1,0,0,,Merle
15090,1/28/2021,3.34,15,0,0,0,0,0,,Merle
15090,4/22/2021,NA,20,0,0,0,0,0,,Merle
15090,6/17/2021,2.07,15,2,2,2,0,0,,Merle
15090,7/8/2021,1.21,8,0,0,0,0,0,,Merle
15090,10/7/2021,4.51,16,1,1,1,0,0,,Merle
15090,11/4/2021,1.36,9,1,0,0,0,0,,Merle
15090,12/9/2021,2.25,25,1,1,1,0,0,,Merle
15090,1/13/2022,2.12,16,2,2,2,0,0,,Merle
15090,3/17/2022,3.22,19,1,0,0,0,0,,Merle
15090,6/23/2022,2.34,23,1,1,1,0,0,,Merle
15090,7/11/2022,1.44,8,0,0,0,0,0,,Merle
15090,9/15/2022,1.55,22,2,1,1,0,0,,Merle
15090,12/8/2022,2.27,26,0,0,0,0,0,,Merle
15090,2/23/2023,3.42,23,1,1,1,0,0,,Merle
15090,5/4/2023,4.08,18,0,0,0,0,0,,Merle
15090,5/25/2023,1.59,18,0,0,0,0,0,,Merle
15090,6/22/2023,1.36,15,0,0,0,0,0,,Merle
15090,7/13/2023,1.15,14,0,0,0,0,0,,Merle
15090,9/14/2023,1.23,16,0,0,0,0,0,,Merle
15090,11/9/2023,1.47,14,0,0,0,0,0,,Merle
15090,12/7/2023,1.5,33,1,1,1,0,0,,Merle
15090,12/20/2023,1.12,9,0,0,0,0,0,,Merle
15090,2/15/2024,1.49,26,2,2,2,0,0,,Merle
15090,2/29/2024,1.21,27,1,1,1,0,0,,Merle
15090,4/18/2024,2.08,27,NA,NA,NA,NA,NA,,Merle
15090,5/16/2024,2.2,8,NA,NA,NA,NA,NA,,Merle
15088,7/2/2019,5.56,24,3,3,1,2,0,,Merle
15088,7/29/2019,0.3,6,1,1,1,0,0,,Merle
15088,10/2/2019,2.34,26,3,3,3,0,0,,Merle
15088,10/30/2019,2.3,31,0,0,0,0,0,,Merle
15088,12/11/2019,2.53,24,0,0,0,0,0,,Merle
15088,3/4/2020,1.36,19,1,0,0,0,0,,Merle
15088,5/11/2020,NA,4,0,0,0,0,0,vereinfachtes schriftliches Verfahren,Merle
15088,7/8/2020,3.17,37,1,1,1,0,0,,Merle
15088,9/16/2020,2.35,19,3,0,0,0,0,,Merle
15088,10/28/2020,2.11,20,0,0,0,0,0,,Merle
15088,12/9/2020,2.33,29,2,1,1,0,0,,Merle
15088,4/21/2021,2.31,27,2,0,0,0,0,,Merle
15088,7/7/2021,2.1,26,0,0,0,0,0,,Merle
15088,9/15/2021,2.11,25,1,0,0,0,0,,Merle
15088,11/3/2021,1.32,20,0,0,0,0,0,,Merle
15088,12/15/2021,3.55,30,1,0,0,0,0,,Merle
15088,4/6/2022,2.46,30,3,0,0,0,0,,Merle
